date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:55:20	838/838	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	date:Fri,%2003%20Jul%202026%2016:55:19%20GMT	https://agrshch.com/robots.txt		(from )
17:55:21	2745/2745	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202026%2012:53:00%20GMT	https://agrshch.com/	agrshch.com/index.html	(from )
17:55:21	1089/1089	---M-Z	200	added ('OK')	text/css	etag:W/%226a43bc2c-441%22	https://agrshch.com/styles/reset.css	agrshch.com/styles/reset.css	(from https://agrshch.com/)
17:55:22	1413/1413	---M-Z	200	added ('OK')	text/css	etag:W/%226a43bc2e-585%22	https://agrshch.com/styles/style.css	agrshch.com/styles/style.css	(from https://agrshch.com/)
17:55:23	169/169	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226a43bc2c-a9%22	https://agrshch.com/styles/favicon.svg	agrshch.com/styles/favicon.svg	(from https://agrshch.com/)
17:55:24	4714/4714	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2003%20Jul%202026%2016:55:24%20GMT	https://agrshch.com/cdn-cgi/l/email-protection	agrshch.com/cdn-cgi/l/email-protection	(from https://agrshch.com/)
17:55:25	1239/1239	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2003%20Jul%202026%2016:55:25%20GMT	https://agrshch.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	agrshch.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://agrshch.com/)
17:55:27	202/202	---MCZ	200	added ('OK')	application/javascript	etag:W/%226a43bc2c-ca%22	https://agrshch.com/index.js	agrshch.com/index.js	(from https://agrshch.com/)
17:55:28	44016/44016	---M--	200	added ('OK')	font/woff2	etag:%226a43bc2c-abf0%22	https://agrshch.com/styles/fonts/Graphik-Regular-Web.woff2	agrshch.com/styles/fonts/Graphik-Regular-Web.woff2	(from https://agrshch.com/styles/style.css)
17:55:29	61864/61864	---M--	200	added ('OK')	font/woff	etag:%226a43bc2c-f1a8%22	https://agrshch.com/styles/fonts/Graphik-Regular-Web.woff	agrshch.com/styles/fonts/Graphik-Regular-Web.woff	(from https://agrshch.com/styles/style.css)
