date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:20:46	132/132	---MCZ	200	added ('OK')	text/plain	date:Mon,%2029%20Jun%202026%2013:20:46%20GMT	https://www.adhamdannaway.com/robots.txt		(from )
14:20:46	38536/38536	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Jun%202026%2013:20:46%20GMT	https://www.adhamdannaway.com/	./adham-clone/www.adhamdannaway.com/index.html	(from )
14:20:48	70719/70719	---MCZ	200	added ('OK')	text/css	etag:W/%226a38c02c-1143f%22	https://www.adhamdannaway.com/wp-content/uploads/siteground-optimizer-assets/siteground-optimizer-combined-css-53d44b73f71bfadc5ddac5c92ff53f43.css	./adham-clone/www.adhamdannaway.com/wp-content/uploads/siteground-optimizer-assets/siteground-optimizer-combined-css-53d44b73f71bfadc5ddac5c92ff53f43.css	(from https://www.adhamdannaway.com/)
14:20:49	14815/14815	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263905b4d-39df%22	https://www.adhamdannaway.com/wp-content/themes/dannaway/js/modernizr-2.5.3-min.js	./adham-clone/www.adhamdannaway.com/wp-content/themes/dannaway/js/modernizr-2.5.3-min.js	(from https://www.adhamdannaway.com/)
14:20:49	894/894	---M--	200	added ('OK')	image/x-icon	etag:%2263912b96-37e%22	https://www.adhamdannaway.com/favicon.ico	./adham-clone/www.adhamdannaway.com/favicon.ico	(from https://www.adhamdannaway.com/)
14:20:54	2690/2690	---MCZ	200	added ('OK')	text/xml	date:Mon,%2029%20Jun%202026%2013:20:53%20GMT	https://www.adhamdannaway.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.adhamdannaway.com%2F&format=xml	./adham-clone/www.adhamdannaway.com/wp-json/oembed/1.0/embedaef3	(from https://www.adhamdannaway.com/)
14:20:57	10813/10813	---MCZ	200	added ('OK')	application/json	date:Mon,%2029%20Jun%202026%2013:20:57%20GMT	https://www.adhamdannaway.com/wp-json/wp/v2/pages/13	./adham-clone/www.adhamdannaway.com/wp-json/wp/v2/pages/13.json	(from https://www.adhamdannaway.com/)
14:21:01	38942/38942	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Jun%202026%2013:21:00%20GMT	https://www.adhamdannaway.com/learn-ui-design	./adham-clone/www.adhamdannaway.com/learn-ui-design.html	(from https://www.adhamdannaway.com/)
14:21:02	48622/48622	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Jun%202026%2013:21:02%20GMT	https://www.adhamdannaway.com/portfolio	./adham-clone/www.adhamdannaway.com/portfolio.html	(from https://www.adhamdannaway.com/)
14:21:04	46758/46758	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Jun%202026%2013:21:04%20GMT	https://www.adhamdannaway.com/blog	./adham-clone/www.adhamdannaway.com/blog.html	(from https://www.adhamdannaway.com/)
